name,department,dept_name,state,EOW,cause,location,year
Lieutenant Earl W. Flamion,"Perry County Sheriff's Department, IN",Perry County Sheriff's Department,IN,1980-09-21,Cause of Death: Automobile crash,NA,1980
Patrolman Neil G. Thompson,"LaPorte County Police Department, IN",LaPorte County Police Department,IN,1980-09-21,Cause of Death: Vehicular assault,NA,1980
Correctional Officer Frank Scott,"Georgia Department of Corrections, GA",Georgia Department of Corrections,GA,1980-09-18,Cause of Death: Vehicular assault,NA,1980
Chief Deputy Sheriff John Earl Peacock,"West Carroll Parish Sheriff's Office, LA",West Carroll Parish Sheriff's Office,LA,1980-09-17,Cause of Death: Aircraft accident,NA,1980
"Sheriff Thomas W. Auger, Jr.","West Carroll Parish Sheriff's Office, LA",West Carroll Parish Sheriff's Office,LA,1980-09-17,Cause of Death: Aircraft accident,NA,1980
Detective Sergeant David William Hubbard,"Michigan State Police, MI",Michigan State Police,MI,1980-09-16,Cause of Death: Struck by train,NA,1980
Police Officer Amos Cross,"Pensacola Police Department, FL",Pensacola Police Department,FL,1980-09-12,Cause of Death: Gunfire,NA,1980
Reserve Officer Dennis Edward Harrell,"Colleyville Police Department, TX",Colleyville Police Department,TX,1980-09-12,Cause of Death: Automobile crash,NA,1980
Police Officer Ivan J. Walker,"Philadelphia Housing Authority Police Department, PA",Philadelphia Housing Authority Police Department,PA,1980-09-11,Cause of Death: Gunfire,NA,1980
Officer Philip H. Chacon,"Albuquerque Police Department, NM",Albuquerque Police Department,NM,1980-09-10,Cause of Death: Gunfire,NA,1980
Sheriff Dale E. Nelson,"Beaver County Sheriff's Office, UT",Beaver County Sheriff's Office,UT,1980-09-08,Cause of Death: Exposure to toxins,NA,1980
Officer Ernest Ray Felio,"California Highway Patrol, CA",California Highway Patrol,CA,1980-09-07,Cause of Death: Gunfire,NA,1980
Investigator John J. Schneider,"Winona County Sheriff's Department, MN",Winona County Sheriff's Department,MN,1980-09-07,Cause of Death: Gunfire,NA,1980
Police Officer Martin W. Yawarsky,"Columbus Division of Police, OH",Columbus Division of Police,OH,1980-09-06,Cause of Death: Automobile crash,NA,1980
Trooper Frederick Glen Bailey,"Arkansas State Police, AR",Arkansas State Police,AR,1980-09-05,Cause of Death: Gunfire,NA,1980
Officer Perry Michael Messina,"Federal Heights Police Department, CO",Federal Heights Police Department,CO,1980-09-03,Cause of Death: Automobile crash,NA,1980
Policeman Jose Cabrera-Santiago,"Puerto Rico Police Department, PR",Puerto Rico Police Department,PR,1980-09-03,Cause of Death: Gunfire,NA,1980
"Police Officer Frank J. Donato, Jr.","Palisades Interstate Park Police Department - New York Section, NY",Palisades Interstate Park Police Department - New York Section,NY,1980-08-28,Cause of Death: Heart attack,NA,1980
Captain Clell Bobblitt Floyd,"Lake City Police Department, SC",Lake City Police Department,SC,1980-08-26,Cause of Death: Aircraft accident,NA,1980
Trooper Michael D. Farber,"Nebraska State Patrol, NE",Nebraska State Patrol,NE,1980-08-24,Cause of Death: Vehicular assault,NA,1980
Trooper Edward A. Elliott,"Oklahoma Highway Patrol, OK",Oklahoma Highway Patrol,OK,1980-08-22,Cause of Death: Struck by vehicle,NA,1980
Police Officer Ralph L. Gardner,"Signal Hill Police Department, CA",Signal Hill Police Department,CA,1980-08-20,Cause of Death: Gunfire (Inadvertent),NA,1980
Detective Herbert Ray Sullivan,"St. Petersburg Police Department, FL",St. Petersburg Police Department,FL,1980-08-18,Cause of Death: Gunfire,NA,1980
Correctional Officer Albert William Patch,"California Department of Corrections and Rehabilitation, CA",California Department of Corrections and Rehabilitation,CA,1980-08-17,Cause of Death: Stabbed,NA,1980
"Sheriff Earl Sermon Dyess, Sr.","Hendry County Sheriff's Department, FL",Hendry County Sheriff's Department,FL,1980-08-17,Cause of Death: Stabbed,NA,1980
Patrolman David Wayne Clark,"Shawnee Police Department, OK",Shawnee Police Department,OK,1980-08-16,Cause of Death: Vehicle pursuit,NA,1980
"Major Horace Hall, Jr.","Bell County Sheriff's Department, KY",Bell County Sheriff's Department,KY,1980-08-14,Cause of Death: Automobile crash,NA,1980
Police Officer Harry R. Ryman,"New York City Police Department, NY",New York City Police Department,NY,1980-08-14,Cause of Death: Gunfire,NA,1980
Police Officer Robert N. Yezzi,"Bensalem Township Police Department, PA",Bensalem Township Police Department,PA,1980-08-12,Cause of Death: Struck by vehicle,NA,1980
Sheriff Raymond Lamar Davis,"Beaverhead County Sheriff's Department, MT",Beaverhead County Sheriff's Department,MT,1980-08-09,Cause of Death: Heart attack,NA,1980
Detective Melvin E. Miller,"Jackson County Sheriff's Office, MO",Jackson County Sheriff's Office,MO,1980-08-08,Cause of Death: Struck by vehicle,NA,1980
"Trooper James A. Kelly, Jr.","New York State Police, NY",New York State Police,NY,1980-08-08,Cause of Death: Vehicular assault,NA,1980
Customs Officer Roger L. Von Amelunxen,"United States Department of the Treasury - United States Customs Service, US",United States Department of the Treasury - United States Customs Service,US,1980-07-30,Cause of Death: Gunfire,Location: New York,1980
Sergeant Arthur Cashin,"Chelsea Police Department, MA",Chelsea Police Department,MA,1980-07-20,Cause of Death: Gunfire,NA,1980
"Sergeant James E. Richardson, Jr.","Atlanta Police Department, GA",Atlanta Police Department,GA,1980-07-19,Cause of Death: Gunfire,NA,1980
Patrolman William D. Chapman,"Utica Police Department, NY",Utica Police Department,NY,1980-07-19,Cause of Death: Automobile crash,NA,1980
Deputy Sheriff Phillip Samuel Feld,"Jefferson County Sheriff's Office, AL",Jefferson County Sheriff's Office,AL,1980-07-16,Cause of Death: Automobile crash,NA,1980
Correctional Officer Lauriston F. Hustus,"Florida Department of Corrections, FL",Florida Department of Corrections,FL,1980-07-16,Cause of Death: Heart attack,NA,1980
"Police Officer Ernest Wilson Davis, Jr.","Philadelphia Police Department, PA",Philadelphia Police Department,PA,1980-07-16,Cause of Death: Gunfire,NA,1980
Patrolman Gordon Alex Jensen,"Galena Park Police Department, TX",Galena Park Police Department,TX,1980-07-16,Cause of Death: Gunfire,NA,1980
Officer Darrell Gene Moon,"Fort Worth Police Department, TX",Fort Worth Police Department,TX,1980-07-15,Cause of Death: Gunfire (Inadvertent),NA,1980
Detective Abraham Walton,"New York City Police Department, NY",New York City Police Department,NY,1980-07-14,Cause of Death: Gunfire,NA,1980
Trooper Thomas J. Merry,"Maine State Police, ME",Maine State Police,ME,1980-07-12,Cause of Death: Vehicular assault,NA,1980
Deputy Sheriff Marion Lee Guthrie,"Hemphill County Sheriff's Department, TX",Hemphill County Sheriff's Department,TX,1980-07-12,Cause of Death: Gunfire,NA,1980
Corrections Employee Burch D. Slote,"Kansas Department of Corrections, KS",Kansas Department of Corrections,KS,1980-07-06,Cause of Death: Stabbed,NA,1980
Reserve Deputy Sheriff Gerald L. Martin,"Jennings County Sheriff's Department, IN",Jennings County Sheriff's Department,IN,1980-07-05,Cause of Death: Struck by vehicle,NA,1980
Officer Desmond Sherry,"Cleveland Division of Police, OH",Cleveland Division of Police,OH,1980-07-03,Cause of Death: Gunfire,NA,1980
Deputy Sheriff Hiram A. Ritchie,"Perry County Sheriff's Office, KY",Perry County Sheriff's Office,KY,1980-06-30,Cause of Death: Gunfire,NA,1980
"Officer Tommy Richard Gober, Jr.","DeKalb County Police Department, GA",DeKalb County Police Department,GA,1980-06-28,Cause of Death: Gunfire,NA,1980
Police Officer Curtis Neal Jones,"Pensacola Police Department, FL",Pensacola Police Department,FL,1980-06-27,Cause of Death: Automobile crash,NA,1980
Policeman Jose Ramon Osorio-Vazquez,"Puerto Rico Police Department, PR",Puerto Rico Police Department,PR,1980-06-27,Cause of Death: Gunfire,NA,1980
"Chief of Police Alvis F. ""Tuffy"" Maddox","Childress Police Department, TX",Childress Police Department,TX,1980-06-22,Cause of Death: Automobile crash,NA,1980
Police Officer Carlton Wayne Sudduth,"Livingston University Police Department, AL",Livingston University Police Department,AL,1980-06-21,Cause of Death: Gunfire,NA,1980
Officer Stephen Samuel Douros,"Norfolk Police Department, VA",Norfolk Police Department,VA,1980-06-21,Cause of Death: Vehicular assault,NA,1980
Sergeant Patrick Don Vegas,"Bakersfield Police Department, CA",Bakersfield Police Department,CA,1980-06-20,Cause of Death: Motorcycle crash,NA,1980
Detective Gregory J. Erson,"St. Louis Metropolitan Police Department, MO",St. Louis Metropolitan Police Department,MO,1980-06-19,Cause of Death: Gunfire,NA,1980
Police Officer Joseph Keegan,"New York City Transit Police Department, NY",New York City Transit Police Department,NY,1980-06-19,Cause of Death: Gunfire,NA,1980
Sergeant José M. Aponte-Torres,"Puerto Rico Police Department, PR",Puerto Rico Police Department,PR,1980-06-17,Cause of Death: Motorcycle crash,NA,1980
Police Officer Shannon Ray Stephenson,"Gainesville Police Department, FL",Gainesville Police Department,FL,1980-06-15,Cause of Death: Gunfire (Inadvertent),NA,1980
Police Officer John A. Patwell,"New York City Police Department, NY",New York City Police Department,NY,1980-06-15,Cause of Death: Accidental,NA,1980
Chief of Police Bobby Gene Powell,"Swainsboro Police Department, GA",Swainsboro Police Department,GA,1980-06-12,Cause of Death: Gunfire,NA,1980
Officer Donald F. Reed,"Garden Grove Police Department, CA",Garden Grove Police Department,CA,1980-06-07,Cause of Death: Gunfire,NA,1980
Deputy Sheriff Leopoldo Cesilo Gurule,"Santa Fe County Sheriff's Office, NM",Santa Fe County Sheriff's Office,NM,1980-06-07,Cause of Death: Gunfire,NA,1980
Patrol Officer William Robert Stout,"Terrell Police Department, TX",Terrell Police Department,TX,1980-06-05,Cause of Death: Gunfire,NA,1980
Special Agent Julie Yvonne Cross,"United States Department of the Treasury - United States Secret Service, US",United States Department of the Treasury - United States Secret Service,US,1980-06-04,Cause of Death: Gunfire,Location: California,1980
Agent John I. Kahl,"St. Mary Parish Sheriff's Office, LA",St. Mary Parish Sheriff's Office,LA,1980-06-04,Cause of Death: Gunfire,NA,1980
Deputy Sheriff Craig L. Knox,"Monterey County Sheriff's Department, CA",Monterey County Sheriff's Department,CA,1980-06-01,Cause of Death: Vehicular assault,NA,1980
Deputy Sheriff Jerralee J. Jacobus,"Monterey County Sheriff's Department, CA",Monterey County Sheriff's Department,CA,1980-06-01,Cause of Death: Vehicular assault,NA,1980
Sergeant Roland J. Roy,"Winchester Police Department, MA",Winchester Police Department,MA,1980-05-30,Cause of Death: Heart attack,NA,1980
"Patrolman Timothy W. Laffin, Sr.","North Haven Police Department, CT",North Haven Police Department,CT,1980-05-29,Cause of Death: Vehicle pursuit,NA,1980
Reserve Deputy James Edward Healy,"Napa County Sheriff's Department, CA",Napa County Sheriff's Department,CA,1980-05-25,Cause of Death: Drowned,NA,1980
Patrolman David Joseph Inlow,"Kansas City Police Department, MO",Kansas City Police Department,MO,1980-05-25,Cause of Death: Gunfire,NA,1980
Sergeant James D. Shepherd,"Oregon State Police, OR",Oregon State Police,OR,1980-05-22,Cause of Death: Gunfire,NA,1980
Park Ranger Duane P. McClure,"United States Department of the Interior - National Park Service, US",United States Department of the Interior - National Park Service,US,1980-05-22,Cause of Death: Drowned,Location: Wyoming,1980
Corporal Willie E. Hammond,"Indianola Police Department, MS",Indianola Police Department,MS,1980-05-21,Cause of Death: Stabbed,NA,1980
"Lieutenant Francis William Wilt, Jr.","Pennsylvania Department of Corrections, PA",Pennsylvania Department of Corrections,PA,1980-05-20,Cause of Death: Heart attack,NA,1980
Lieutenant Edward F. McDermott,"Miami Police Department, FL",Miami Police Department,FL,1980-05-18,Cause of Death: Heart attack,NA,1980
Trooper Gary G. Powless,"Wisconsin State Patrol, WI",Wisconsin State Patrol,WI,1980-05-18,Cause of Death: Automobile crash,NA,1980
Detective Noel Don McGuire,"Little Rock Police Department, AR",Little Rock Police Department,AR,1980-05-14,Cause of Death: Gunfire,NA,1980
"Lieutenant John Wesley Smith, III","Metro Nashville Police Department, TN",Metro Nashville Police Department,TN,1980-05-14,Cause of Death: Automobile crash,NA,1980
Trooper Robert John Gaylo,"New York State Police, NY",New York State Police,NY,1980-05-13,Cause of Death: Automobile crash,NA,1980
Deputy Sheriff James B. Evans,"Riverside County Sheriff's Department, CA",Riverside County Sheriff's Department,CA,1980-05-09,Cause of Death: Gunfire,NA,1980
Patrolman Russell Allen Herrick,"Burton Police Department, MI",Burton Police Department,MI,1980-05-08,Cause of Death: Gunfire,NA,1980
"Detention Officer Juan Gilberto Guerrero, Jr.","Webb County Sheriff's Department, TX",Webb County Sheriff's Department,TX,1980-05-08,Cause of Death: Weather/Natural disaster,NA,1980
Patrolman David T. Doering,"North Chicago Police Department, IL",North Chicago Police Department,IL,1980-05-04,Cause of Death: Gunfire,NA,1980
"Police Officer Floyd Harold ""Bernie"" Swartz","Pinole Police Department, CA",Pinole Police Department,CA,1980-05-03,Cause of Death: Gunfire,NA,1980
"Deputy Sheriff Floyd Douglas Heist, Sr.","Escambia County Sheriff's Office, FL",Escambia County Sheriff's Office,FL,1980-05-03,Cause of Death: Gunfire,NA,1980
Patrolman Anthony Edward Jenkins,"Meigs Police Department, GA",Meigs Police Department,GA,1980-04-29,Cause of Death: Gunfire,NA,1980
Deputy Sheriff Eugene N. Luther,"Sacramento County Sheriff's Department, CA",Sacramento County Sheriff's Department,CA,1980-04-25,Cause of Death: Gunfire,NA,1980
Police Officer Robert A. Sorrentino,"New York City Police Department, NY",New York City Police Department,NY,1980-04-24,Cause of Death: Gunfire,NA,1980
Police Officer Robert Patrick Smith,"Philadelphia Police Department, PA",Philadelphia Police Department,PA,1980-04-23,Cause of Death: Heart attack,NA,1980
Deputy Sheriff Willard Pope Hill,"Robertson County Sheriff's Office, TN",Robertson County Sheriff's Office,TN,1980-04-22,Cause of Death: Aircraft accident,Location: Kentucky,1980
Patrolman Richard Gomez,"New Mexico State Police, NM",New Mexico State Police,NM,1980-04-17,Cause of Death: Gunfire,NA,1980
Deputy Sheriff Marc Bump,"Washington County Sheriff's Office, OR",Washington County Sheriff's Office,OR,1980-04-17,Cause of Death: Duty related illness,NA,1980
Trooper David D. Monahan,"Pennsylvania State Police, PA",Pennsylvania State Police,PA,1980-04-17,Cause of Death: Vehicular assault,NA,1980
Patrolman Donald Martin Burke,"Hoquiam Police Department, WA",Hoquiam Police Department,WA,1980-04-16,Cause of Death: Gunfire,NA,1980
"Patrolman Augustus J. Perreira, Jr.","Colorado Springs Police Department, CO",Colorado Springs Police Department,CO,1980-04-12,Cause of Death: Gunfire,NA,1980
Game Warden Nelson Onepennee,"Yakama Nation Tribal Police Department, TR",Yakama Nation Tribal Police Department,TR,1980-04-11,Cause of Death: Automobile crash,Location: Washington,1980
Patrolman John Ernest Van Haaften,"Pella Police Department, IA",Pella Police Department,IA,1980-04-09,Cause of Death: Gunfire,NA,1980
Patrol Officer John Ward Dotson,"Chickasaw Police Department, AL",Chickasaw Police Department,AL,1980-04-08,Cause of Death: Gunfire,NA,1980
Officer Kenneth W. Pendergraft,"Fort Worth Police Department, TX",Fort Worth Police Department,TX,1980-04-08,Cause of Death: Gunfire,NA,1980
Chief of Police Milwood L. Stokes,"Whigham Police Department, GA",Whigham Police Department,GA,1980-04-06,Cause of Death: Gunfire,NA,1980
Policeman Jorge Luis Molina-Pacheco,"Puerto Rico Police Department, PR",Puerto Rico Police Department,PR,1980-04-05,Cause of Death: Gunfire,NA,1980
Patrolman Christopher M. Dunn,"Jefferson County Police Department, KY",Jefferson County Police Department,KY,1980-04-03,Cause of Death: Gunfire,NA,1980
Patrol Officer James Leroy Bennett,"Decatur Police Department, TX",Decatur Police Department,TX,1980-04-03,Cause of Death: Gunfire,NA,1980
Deputy Sheriff Willie James Blakely,"Laurens County Sheriff's Office, SC",Laurens County Sheriff's Office,SC,1980-03-30,Cause of Death: Struck by vehicle,NA,1980
Chief of Police Wendell Ray Rowan,"Wright City Police Department, OK",Wright City Police Department,OK,1980-03-18,Cause of Death: Heart attack,NA,1980
"Deputy Sheriff Worth ""Joe"" Edwards","Broward County Sheriff's Office, FL",Broward County Sheriff's Office,FL,1980-03-15,Cause of Death: Gunfire,NA,1980
Trooper Steven Eric Hoffman,"South Dakota Highway Patrol, SD",South Dakota Highway Patrol,SD,1980-03-12,Cause of Death: Struck by vehicle,NA,1980
Officer Danny Dean Richmond,"Beaumont Police Department, TX",Beaumont Police Department,TX,1980-03-12,Cause of Death: Motorcycle crash,NA,1980
Detective Curtis C. Hagele,"Los Angeles Police Department, CA",Los Angeles Police Department,CA,1980-03-10,Cause of Death: Gunfire (Inadvertent),NA,1980
Deputy Sheriff Arlyn Gae Lockley,"St. Clair County Sheriff's Office, AL",St. Clair County Sheriff's Office,AL,1980-03-09,Cause of Death: Gunfire (Inadvertent),NA,1980
Police Officer Allen J. Fednik,"Hackensack Police Department, NJ",Hackensack Police Department,NJ,1980-03-05,Cause of Death: Struck by train,NA,1980
Second Lieutenant Kenneth Dean Strang,"Oklahoma Highway Patrol, OK",Oklahoma Highway Patrol,OK,1980-03-01,Cause of Death: Automobile crash,NA,1980
Police Officer Irving W. Smith,"New York City Transit Police Department, NY",New York City Transit Police Department,NY,1980-02-29,Cause of Death: Gunfire,NA,1980
Reserve Officer Gerald H. Erickson,"Hillsboro Police Department, OR",Hillsboro Police Department,OR,1980-02-28,Cause of Death: Heart attack,NA,1980
Police Officer Seraphin Calabrese,"New York City Transit Police Department, NY",New York City Transit Police Department,NY,1980-02-24,Cause of Death: Gunfire,NA,1980
